RC_bin,RV_bin,ef,actual_recall
"(2.20748,2.29054]","(0.448421,0.464558]","2919","0.95"
"(2.20748,2.29054]","(0.464558,0.482669]","1340","0.95"
"(2.20748,2.29054]","(0.482669,0.506981]","1262","0.951818"
"(2.20748,2.29054]","(0.506981,0.531115]","1735","0.95375"
"(2.20748,2.29054]","(0.531115,0.558808]","552","0.956"
"(2.20748,2.29054]","(0.558808,0.57998]","1104","0.955"
"(2.20748,2.29054]","(0.57998,0.606487]","2761","0.95"
"(2.20748,2.29054]","(0.606487,0.631008]","2130","0.95"
"(2.20748,2.29054]","(0.631008,0.656416]","1735","0.95"
"(2.20748,2.29054]","(0.656416,0.681525]","1183","0.95"
"(2.29054,2.36299]","(0.283138,0.350629]","5000","0.94"
"(2.29054,2.36299]","(0.350629,0.371701]","2840","0.95"
"(2.29054,2.36299]","(0.371701,0.39101]","4102","0.95"
"(2.29054,2.36299]","(0.39101,0.410952]","1735","0.95"
"(2.29054,2.36299]","(0.410952,0.428833]","1656","0.95"
"(2.29054,2.36299]","(0.428833,0.448421]","709","0.951818"
"(2.29054,2.36299]","(0.448421,0.464558]","788","0.950909"
"(2.29054,2.36299]","(0.464558,0.482669]","1025","0.95"
"(2.29054,2.36299]","(0.482669,0.506981]","1104","0.950909"
"(2.29054,2.36299]","(0.506981,0.531115]","709","0.95"
"(2.29054,2.36299]","(0.531115,0.558808]","552","0.96"
"(2.29054,2.36299]","(0.558808,0.57998]","788","0.951429"
"(2.29054,2.36299]","(0.57998,0.606487]","788","0.95"
"(2.29054,2.36299]","(0.606487,0.631008]","867","0.9525"
"(2.29054,2.36299]","(0.656416,0.681525]","709","0.95"
"(2.29054,2.36299]","(0.681525,0.710171]","2603","0.95"
"(2.29054,2.36299]","(0.744509,0.781333]","473","0.97"
"(2.36299,2.46054]","(0.283138,0.350629]","3629","0.95"
"(2.36299,2.46054]","(0.350629,0.371701]","2682","0.95"
"(2.36299,2.46054]","(0.371701,0.39101]","1025","0.955"
"(2.36299,2.46054]","(0.39101,0.410952]","1419","0.953333"
"(2.36299,2.46054]","(0.410952,0.428833]","867","0.952"
"(2.36299,2.46054]","(0.428833,0.448421]","1262","0.95"
"(2.36299,2.46054]","(0.448421,0.464558]","709","0.956667"
"(2.36299,2.46054]","(0.464558,0.482669]","867","0.953"
"(2.36299,2.46054]","(0.482669,0.506981]","709","0.950909"
"(2.36299,2.46054]","(0.506981,0.531115]","709","0.95"
"(2.36299,2.46054]","(0.531115,0.558808]","1025","0.955556"
"(2.36299,2.46054]","(0.558808,0.57998]","1025","0.955714"
"(2.36299,2.46054]","(0.57998,0.606487]","394","0.954286"
"(2.36299,2.46054]","(0.606487,0.631008]","394","0.95375"
"(2.36299,2.46054]","(0.656416,0.681525]","1419","0.955"
"(2.36299,2.46054]","(0.681525,0.710171]","473","0.95"
"(2.36299,2.46054]","(0.710171,0.744509]","157","0.97"
"(2.36299,2.46054]","(0.744509,0.781333]","236","0.96"
"(2.46054,2.56227]","(0.283138,0.350629]","4892","0.95"
"(2.46054,2.56227]","(0.350629,0.371701]","867","0.95"
"(2.46054,2.56227]","(0.371701,0.39101]","1340","0.953333"
"(2.46054,2.56227]","(0.39101,0.410952]","473","0.956667"
"(2.46054,2.56227]","(0.410952,0.428833]","788","0.95"
"(2.46054,2.56227]","(0.428833,0.448421]","1498","0.95"
"(2.46054,2.56227]","(0.448421,0.464558]","946","0.9525"
"(2.46054,2.56227]","(0.464558,0.482669]","631","0.95"
"(2.46054,2.56227]","(0.482669,0.506981]","867","0.956667"
"(2.46054,2.56227]","(0.506981,0.531115]","709","0.95"
"(2.46054,2.56227]","(0.531115,0.558808]","709","0.951818"
"(2.46054,2.56227]","(0.558808,0.57998]","473","0.953333"
"(2.46054,2.56227]","(0.57998,0.606487]","315","0.959091"
"(2.46054,2.56227]","(0.606487,0.631008]","315","0.965"
"(2.46054,2.56227]","(0.631008,0.656416]","473","0.955"
"(2.46054,2.56227]","(0.656416,0.681525]","315","0.95625"
"(2.46054,2.56227]","(0.681525,0.710171]","157","0.98"
"(2.46054,2.56227]","(0.710171,0.744509]","1104","0.955"
"(2.46054,2.56227]","(0.744509,0.781333]","78","0.95"
"(2.56227,2.6936]","(0.283138,0.350629]","867","0.95"
"(2.56227,2.6936]","(0.371701,0.39101]","3550","0.95"
"(2.56227,2.6936]","(0.39101,0.410952]","1656","0.953333"
"(2.56227,2.6936]","(0.410952,0.428833]","2525","0.952857"
"(2.56227,2.6936]","(0.428833,0.448421]","473","0.95"
"(2.56227,2.6936]","(0.448421,0.464558]","1498","0.95"
"(2.56227,2.6936]","(0.464558,0.482669]","788","0.953333"
"(2.56227,2.6936]","(0.482669,0.506981]","473","0.96"
"(2.56227,2.6936]","(0.506981,0.531115]","788","0.951429"
"(2.56227,2.6936]","(0.531115,0.558808]","867","0.955"
"(2.56227,2.6936]","(0.558808,0.57998]","709","0.958"
"(2.56227,2.6936]","(0.57998,0.606487]","236","0.950909"
"(2.56227,2.6936]","(0.606487,0.631008]","394","0.954545"
"(2.56227,2.6936]","(0.631008,0.656416]","236","0.958"
"(2.56227,2.6936]","(0.656416,0.681525]","157","0.952"
"(2.56227,2.6936]","(0.681525,0.710171]","709","0.9525"
"(2.56227,2.6936]","(0.710171,0.744509]","394","0.96"
"(2.56227,2.6936]","(0.744509,0.781333]","78","0.97"
"(2.6936,2.84419]","(0.371701,0.39101]","1814","0.9525"
"(2.6936,2.84419]","(0.39101,0.410952]","1498","0.953333"
"(2.6936,2.84419]","(0.410952,0.428833]","2288","0.95"
"(2.6936,2.84419]","(0.428833,0.448421]","788","0.95"
"(2.6936,2.84419]","(0.448421,0.464558]","394","0.96"
"(2.6936,2.84419]","(0.464558,0.482669]","631","0.95125"
"(2.6936,2.84419]","(0.482669,0.506981]","709","0.95"
"(2.6936,2.84419]","(0.506981,0.531115]","552","0.955"
"(2.6936,2.84419]","(0.531115,0.558808]","1498","0.95"
"(2.6936,2.84419]","(0.558808,0.57998]","394","0.957273"
"(2.6936,2.84419]","(0.57998,0.606487]","2761","0.95"
"(2.6936,2.84419]","(0.606487,0.631008]","236","0.961667"
"(2.6936,2.84419]","(0.631008,0.656416]","236","0.961429"
"(2.6936,2.84419]","(0.656416,0.681525]","315","0.959091"
"(2.6936,2.84419]","(0.681525,0.710171]","236","0.973"
"(2.6936,2.84419]","(0.710171,0.744509]","78","0.95"
"(2.6936,2.84419]","(0.744509,0.781333]","1025","0.955"
"(2.6936,2.84419]","(0.781333,0.892321]","78","0.99"
"(2.84419,2.98902]","(0.39101,0.410952]","3708","0.95"
"(2.84419,2.98902]","(0.410952,0.428833]","2761","0.955"
"(2.84419,2.98902]","(0.428833,0.448421]","1814","0.95"
"(2.84419,2.98902]","(0.448421,0.464558]","788","0.95"
"(2.84419,2.98902]","(0.464558,0.482669]","552","0.9525"
"(2.84419,2.98902]","(0.482669,0.506981]","473","0.96"
"(2.84419,2.98902]","(0.506981,0.531115]","631","0.951"
"(2.84419,2.98902]","(0.531115,0.558808]","236","0.95875"
"(2.84419,2.98902]","(0.558808,0.57998]","709","0.957273"
"(2.84419,2.98902]","(0.57998,0.606487]","394","0.955"
"(2.84419,2.98902]","(0.606487,0.631008]","236","0.956"
"(2.84419,2.98902]","(0.631008,0.656416]","157","0.953333"
"(2.84419,2.98902]","(0.656416,0.681525]","315","0.964545"
"(2.84419,2.98902]","(0.681525,0.710171]","315","0.952857"
"(2.84419,2.98902]","(0.710171,0.744509]","394","0.9525"
"(2.84419,2.98902]","(0.744509,0.781333]","315","0.95"
"(2.84419,2.98902]","(0.781333,0.892321]","236","0.95"
"(2.98902,3.18206]","(0.350629,0.371701]","5000","0.92"
"(2.98902,3.18206]","(0.371701,0.39101]","788","0.95"
"(2.98902,3.18206]","(0.410952,0.428833]","4339","0.95"
"(2.98902,3.18206]","(0.428833,0.448421]","709","0.95"
"(2.98902,3.18206]","(0.448421,0.464558]","236","0.95"
"(2.98902,3.18206]","(0.464558,0.482669]","631","0.95"
"(2.98902,3.18206]","(0.482669,0.506981]","473","0.95"
"(2.98902,3.18206]","(0.506981,0.531115]","315","0.95"
"(2.98902,3.18206]","(0.531115,0.558808]","552","0.95"
"(2.98902,3.18206]","(0.558808,0.57998]","315","0.958889"
"(2.98902,3.18206]","(0.57998,0.606487]","315","0.952"
"(2.98902,3.18206]","(0.606487,0.631008]","157","0.951111"
"(2.98902,3.18206]","(0.631008,0.656416]","236","0.965"
"(2.98902,3.18206]","(0.656416,0.681525]","394","0.951818"
"(2.98902,3.18206]","(0.681525,0.710171]","394","0.96"
"(2.98902,3.18206]","(0.710171,0.744509]","78","0.96"
"(2.98902,3.18206]","(0.744509,0.781333]","78","0.955455"
"(2.98902,3.18206]","(0.781333,0.892321]","78","0.97"
"(3.18206,3.40197]","(0.371701,0.39101]","3471","0.95"
"(3.18206,3.40197]","(0.410952,0.428833]","867","0.96"
"(3.18206,3.40197]","(0.428833,0.448421]","631","0.953333"
"(3.18206,3.40197]","(0.448421,0.464558]","1893","0.95"
"(3.18206,3.40197]","(0.464558,0.482669]","709","0.956"
"(3.18206,3.40197]","(0.482669,0.506981]","946","0.95"
"(3.18206,3.40197]","(0.506981,0.531115]","473","0.958"
"(3.18206,3.40197]","(0.531115,0.558808]","552","0.954"
"(3.18206,3.40197]","(0.558808,0.57998]","315","0.958182"
"(3.18206,3.40197]","(0.57998,0.606487]","315","0.954286"
"(3.18206,3.40197]","(0.606487,0.631008]","315","0.965714"
"(3.18206,3.40197]","(0.631008,0.656416]","157","0.95"
"(3.18206,3.40197]","(0.656416,0.681525]","157","0.965714"
"(3.18206,3.40197]","(0.681525,0.710171]","157","0.96875"
"(3.18206,3.40197]","(0.710171,0.744509]","78","0.965556"
"(3.18206,3.40197]","(0.744509,0.781333]","78","0.978"
"(3.18206,3.40197]","(0.781333,0.892321]","78","0.98"
"(3.40197,3.69478]","(0.410952,0.428833]","1419","0.95"
"(3.40197,3.69478]","(0.428833,0.448421]","315","0.95"
"(3.40197,3.69478]","(0.448421,0.464558]","473","0.95"
"(3.40197,3.69478]","(0.464558,0.482669]","1893","0.95"
"(3.40197,3.69478]","(0.482669,0.506981]","552","0.95"
"(3.40197,3.69478]","(0.506981,0.531115]","709","0.95"
"(3.40197,3.69478]","(0.531115,0.558808]","1577","0.95"
"(3.40197,3.69478]","(0.558808,0.57998]","394","0.95"
"(3.40197,3.69478]","(0.57998,0.606487]","709","0.95"
"(3.40197,3.69478]","(0.606487,0.631008]","236","0.952857"
"(3.40197,3.69478]","(0.631008,0.656416]","157","0.964167"
"(3.40197,3.69478]","(0.656416,0.681525]","236","0.975"
"(3.40197,3.69478]","(0.681525,0.710171]","157","0.975385"
"(3.40197,3.69478]","(0.710171,0.744509]","157","0.968235"
"(3.40197,3.69478]","(0.744509,0.781333]","236","0.958571"
"(3.40197,3.69478]","(0.781333,0.892321]","78","0.9775"
"(3.69478,4.12185]","(0.410952,0.428833]","709","0.95"
"(3.69478,4.12185]","(0.428833,0.448421]","1104","0.95"
"(3.69478,4.12185]","(0.448421,0.464558]","1498","0.95"
"(3.69478,4.12185]","(0.464558,0.482669]","2525","0.95"
"(3.69478,4.12185]","(0.482669,0.506981]","1893","0.95"
"(3.69478,4.12185]","(0.506981,0.531115]","552","0.956667"
"(3.69478,4.12185]","(0.531115,0.558808]","236","0.98"
"(3.69478,4.12185]","(0.558808,0.57998]","236","0.95"
"(3.69478,4.12185]","(0.57998,0.606487]","1419","0.951429"
"(3.69478,4.12185]","(0.606487,0.631008]","157","0.974"
"(3.69478,4.12185]","(0.631008,0.656416]","157","0.957143"
"(3.69478,4.12185]","(0.656416,0.681525]","78","0.954"
"(3.69478,4.12185]","(0.681525,0.710171]","157","0.958947"
"(3.69478,4.12185]","(0.710171,0.744509]","157","0.97"
"(3.69478,4.12185]","(0.744509,0.781333]","78","0.955"
"(3.69478,4.12185]","(0.781333,0.892321]","78","0.972857"
"(4.12185,4.6684]","(0.428833,0.448421]","2525","0.95"
"(4.12185,4.6684]","(0.448421,0.464558]","2525","0.95"
"(4.12185,4.6684]","(0.482669,0.506981]","315","0.956667"
"(4.12185,4.6684]","(0.531115,0.558808]","236","0.974"
"(4.12185,4.6684]","(0.558808,0.57998]","315","0.95"
"(4.12185,4.6684]","(0.57998,0.606487]","236","0.97"
"(4.12185,4.6684]","(0.606487,0.631008]","236","0.958571"
"(4.12185,4.6684]","(0.631008,0.656416]","157","0.967143"
"(4.12185,4.6684]","(0.656416,0.681525]","78","0.97"
"(4.12185,4.6684]","(0.681525,0.710171]","157","0.976364"
"(4.12185,4.6684]","(0.710171,0.744509]","157","0.958235"
"(4.12185,4.6684]","(0.744509,0.781333]","78","0.967895"
"(4.12185,4.6684]","(0.781333,0.892321]","78","0.985714"
"(4.6684,5.75421]","(0.464558,0.482669]","631","0.96"
"(4.6684,5.75421]","(0.482669,0.506981]","1262","0.95"
"(4.6684,5.75421]","(0.506981,0.531115]","315","0.955"
"(4.6684,5.75421]","(0.531115,0.558808]","1104","0.95"
"(4.6684,5.75421]","(0.558808,0.57998]","394","0.95"
"(4.6684,5.75421]","(0.57998,0.606487]","236","0.96"
"(4.6684,5.75421]","(0.606487,0.631008]","157","0.98125"
"(4.6684,5.75421]","(0.631008,0.656416]","157","0.956667"
"(4.6684,5.75421]","(0.656416,0.681525]","157","0.96"
"(4.6684,5.75421]","(0.681525,0.710171]","78","0.958889"
"(4.6684,5.75421]","(0.710171,0.744509]","157","0.960833"
"(4.6684,5.75421]","(0.744509,0.781333]","78","0.967222"
"(4.6684,5.75421]","(0.781333,0.892321]","78","0.993636"
"(5.75421,31.8898]","(0.428833,0.448421]","1498","0.95"
"(5.75421,31.8898]","(0.448421,0.464558]","3550","0.95"
"(5.75421,31.8898]","(0.464558,0.482669]","3471","0.95"
"(5.75421,31.8898]","(0.558808,0.57998]","394","0.95"
"(5.75421,31.8898]","(0.57998,0.606487]","552","0.966667"
"(5.75421,31.8898]","(0.606487,0.631008]","157","0.968333"
"(5.75421,31.8898]","(0.631008,0.656416]","78","0.9625"
"(5.75421,31.8898]","(0.656416,0.681525]","78","0.97"
"(5.75421,31.8898]","(0.681525,0.710171]","78","0.958571"
"(5.75421,31.8898]","(0.710171,0.744509]","78","0.978333"
"(5.75421,31.8898]","(0.744509,0.781333]","78","0.984"
"(5.75421,31.8898]","(0.781333,0.892321]","78","0.988636"
