M_bin,m_bin,ef,actual_recall
17,7,1450,0.985714
17,8,450,1
17,9,1800,0.9625
17,10,1400,0.961538
17,11,2000,0.963636
17,12,1850,0.961538
17,13,1800,0.964706
17,14,1000,0.961905
17,15,2300,0.961538
17,16,2350,0.96
17,17,3200,0.962963
17,18,1900,0.962069
17,19,3250,0.96
17,20,1750,0.962069
18,6,100,1
18,7,2550,1
18,8,5000,0.9
18,9,900,0.971429
18,10,2700,0.966667
18,11,2750,0.9625
18,12,2450,0.964286
18,13,2350,0.964286
18,14,1150,0.963636
18,15,2550,0.961538
18,16,2300,0.96087
18,17,1700,0.961111
18,18,1950,0.96
18,19,4200,0.964516
18,20,1250,0.96
19,6,5000,0.95
19,7,5000,0.95
19,9,3850,0.966667
19,10,1550,0.9625
19,11,1700,0.9625
19,12,2200,0.9625
19,13,1950,0.966667
19,14,2750,0.963158
19,15,2900,0.96
19,16,1800,0.963636
19,17,2650,0.9625
19,18,2200,0.961765
19,19,1900,0.961538
19,20,2050,0.96087
20,8,5000,0.9
20,9,4700,1
20,10,100,1
20,11,1450,0.96
20,12,3800,0.975
20,13,1600,0.97
20,14,700,0.961538
20,15,2000,0.966667
20,16,2450,0.96
20,17,3200,0.962069
20,18,1650,0.961538
20,19,2150,0.96
20,20,1250,0.96087
