query_idx,ef_true,RV_log,m_LID
5012,1650,0.20178,23.0229
1339,50,0.3511,16.9984
7181,150,0.229604,24.9407
4233,300,0.191756,23.3059
8649,150,0.373072,10.8661
2926,150,0.278381,23.6473
5022,2000,0.371071,10.9005
5286,100,0.260234,14.0077
9916,100,0.248377,16.5897
6785,50,0.424168,9.06871
3300,50,0.374165,11.594
555,50,0.41956,15.2901
3444,1450,0.293919,13.1752
315,250,0.398285,13.4965
563,200,0.248984,19.4518
9629,50,0.236632,15.6876
9523,50,0.469755,13.2444
6979,200,0.229136,24.9514
9468,50,0.412703,8.75944
2544,250,0.222431,12.8688
5333,100,0.312495,20.3644
9877,50,0.295592,12.3496
687,100,0.379153,9.31183
7068,2000,0.19338,21.6433
2754,800,0.238042,22.4896
8126,50,0.403774,7.26821
8440,150,0.255851,16.0191
4217,1050,0.254294,19.2728
1925,50,0.418893,10.2571
6106,100,0.383206,16.3262
9166,50,0.419493,14.4272
4397,50,0.547312,8.97087
6060,2000,0.226808,19.3179
8971,50,0.344592,12.5329
2060,1900,0.20593,21.9851
2565,50,0.645775,11.9837
4522,150,0.196439,27.83
1573,50,0.381296,11.8289
9555,100,0.253778,18.9955
4524,50,0.443898,6.22037
6186,600,0.210106,22.6582
1509,1600,0.237299,19.6015
8049,200,0.299989,18.9606
6896,100,0.447926,12.7059
1771,2000,0.218568,17.7414
5379,50,0.454464,7.27334
3401,100,0.390313,12.455
1347,1050,0.24693,20.5796
3745,50,0.366298,16.2568
2556,50,0.448303,11.8988
3254,50,0.399362,6.7432
5042,200,0.267526,17.8845
4724,150,0.333827,14.8312
9449,50,0.572044,6.53909
9115,950,0.224209,27.3338
938,1750,0.324153,23.2978
8623,50,0.442741,8.95607
5933,50,0.292962,23.1395
2137,550,0.203939,26.6584
273,50,0.281629,13.2888
7782,50,0.342072,19.3306
503,50,0.569224,6.97611
872,50,0.165162,19.9176
9059,50,0.461033,6.39641
4510,200,0.323042,13.7693
1585,50,0.434977,10.0038
6542,650,0.293286,23.6097
3549,100,0.289165,15.1621
9332,150,0.230744,29.2437
488,950,0.203515,26.2441
7214,50,0.357251,17.6359
5018,50,0.554005,6.20419
8314,50,0.371149,17.6732
9257,2000,0.2577,27.7772
141,50,0.575792,12.4086
4595,50,0.259631,15.0697
5695,1500,0.182619,30.8416
4579,2000,0.254849,16.0846
7527,50,0.261031,10.441
9321,100,0.396357,18.4584
239,650,0.283032,15.427
5485,150,0.377474,14.155
4188,50,0.374262,13.0457
7689,100,0.206751,19.6452
1027,50,0.571324,5.92385
9496,50,0.6207,6.04756
6090,100,0.357891,13.6002
4702,300,0.204127,25.0087
7879,300,0.224301,23.3332
4760,350,0.25386,13.8045
1146,2000,0.231432,23.5622
6960,50,0.482933,9.61001
351,2000,0.247988,32.5563
1525,2000,0.190658,21.1286
9753,500,0.152718,34.5799
