RC_bin,RV_bin,ef,actual_recall
"(2.88109,3.05089]","(0.594014,0.606512]","236","0.974444"
"(2.88109,3.05089]","(0.606512,0.622614]","157","0.9575"
"(2.88109,3.05089]","(0.622614,0.634976]","157","0.965"
"(2.88109,3.05089]","(0.634976,0.650626]","157","0.984286"
"(2.88109,3.05089]","(0.650626,0.667093]","78","0.955"
"(2.88109,3.05089]","(0.667093,0.684716]","78","0.953333"
"(2.88109,3.05089]","(0.684716,0.701636]","236","0.99"
"(2.88109,3.05089]","(0.701636,0.723095]","78","1"
"(2.88109,3.05089]","(0.723095,0.745794]","78","0.99"
"(2.88109,3.05089]","(0.745794,0.778149]","78","0.95"
"(3.05089,3.25502]","(0.399463,0.482554]","236","0.983333"
"(3.05089,3.25502]","(0.482554,0.507006]","236","0.98"
"(3.05089,3.25502]","(0.507006,0.526885]","236","0.98"
"(3.05089,3.25502]","(0.526885,0.54134]","157","0.95"
"(3.05089,3.25502]","(0.54134,0.555202]","157","0.961429"
"(3.05089,3.25502]","(0.555202,0.568005]","157","0.95"
"(3.05089,3.25502]","(0.568005,0.582622]","236","0.965"
"(3.05089,3.25502]","(0.582622,0.594014]","157","0.967778"
"(3.05089,3.25502]","(0.594014,0.606512]","157","0.964444"
"(3.05089,3.25502]","(0.606512,0.622614]","157","0.956667"
"(3.05089,3.25502]","(0.622614,0.634976]","78","0.951667"
"(3.05089,3.25502]","(0.634976,0.650626]","157","0.965"
"(3.05089,3.25502]","(0.650626,0.667093]","157","0.978571"
"(3.05089,3.25502]","(0.667093,0.684716]","157","0.978571"
"(3.05089,3.25502]","(0.684716,0.701636]","157","0.985"
"(3.05089,3.25502]","(0.701636,0.723095]","78","0.955"
"(3.05089,3.25502]","(0.723095,0.745794]","78","0.95"
"(3.05089,3.25502]","(0.778149,0.8115]","78","0.995"
"(3.25502,3.43895]","(0.399463,0.482554]","236","0.976667"
"(3.25502,3.43895]","(0.482554,0.507006]","236","0.973333"
"(3.25502,3.43895]","(0.507006,0.526885]","157","0.956"
"(3.25502,3.43895]","(0.526885,0.54134]","157","0.95625"
"(3.25502,3.43895]","(0.54134,0.555202]","236","0.984"
"(3.25502,3.43895]","(0.555202,0.568005]","157","0.96"
"(3.25502,3.43895]","(0.568005,0.582622]","157","0.97125"
"(3.25502,3.43895]","(0.582622,0.594014]","157","0.962727"
"(3.25502,3.43895]","(0.594014,0.606512]","157","0.961111"
"(3.25502,3.43895]","(0.606512,0.622614]","157","0.974444"
"(3.25502,3.43895]","(0.622614,0.634976]","157","0.968333"
"(3.25502,3.43895]","(0.634976,0.650626]","78","0.96"
"(3.25502,3.43895]","(0.650626,0.667093]","157","0.96"
"(3.25502,3.43895]","(0.667093,0.684716]","157","0.955"
"(3.25502,3.43895]","(0.684716,0.701636]","78","0.963333"
"(3.25502,3.43895]","(0.701636,0.723095]","78","0.96"
"(3.25502,3.43895]","(0.723095,0.745794]","78","0.995"
"(3.25502,3.43895]","(0.745794,0.778149]","78","1"
"(3.25502,3.43895]","(0.778149,0.8115]","78","0.98"
"(3.43895,3.64882]","(0.399463,0.482554]","236","0.962"
"(3.43895,3.64882]","(0.482554,0.507006]","236","0.9825"
"(3.43895,3.64882]","(0.507006,0.526885]","157","0.98"
"(3.43895,3.64882]","(0.526885,0.54134]","157","0.958462"
"(3.43895,3.64882]","(0.54134,0.555202]","157","0.95"
"(3.43895,3.64882]","(0.555202,0.568005]","157","0.956667"
"(3.43895,3.64882]","(0.568005,0.582622]","157","0.955"
"(3.43895,3.64882]","(0.582622,0.594014]","157","0.968182"
"(3.43895,3.64882]","(0.594014,0.606512]","157","0.96875"
"(3.43895,3.64882]","(0.606512,0.622614]","157","0.952857"
"(3.43895,3.64882]","(0.622614,0.634976]","157","0.975"
"(3.43895,3.64882]","(0.634976,0.650626]","157","0.965"
"(3.43895,3.64882]","(0.650626,0.667093]","157","0.985"
"(3.43895,3.64882]","(0.667093,0.684716]","78","0.96"
"(3.43895,3.64882]","(0.684716,0.701636]","78","0.9525"
"(3.43895,3.64882]","(0.701636,0.723095]","78","0.95"
"(3.43895,3.64882]","(0.723095,0.745794]","78","0.99"
"(3.43895,3.64882]","(0.745794,0.778149]","78","0.96"
"(3.43895,3.64882]","(0.778149,0.8115]","78","1"
"(3.64882,3.91156]","(0.399463,0.482554]","236","0.96"
"(3.64882,3.91156]","(0.482554,0.507006]","236","0.95"
"(3.64882,3.91156]","(0.507006,0.526885]","157","0.968333"
"(3.64882,3.91156]","(0.526885,0.54134]","157","0.966667"
"(3.64882,3.91156]","(0.54134,0.555202]","157","0.963"
"(3.64882,3.91156]","(0.555202,0.568005]","157","0.974286"
"(3.64882,3.91156]","(0.568005,0.582622]","157","0.97"
"(3.64882,3.91156]","(0.582622,0.594014]","157","0.985"
"(3.64882,3.91156]","(0.594014,0.606512]","157","0.965"
"(3.64882,3.91156]","(0.606512,0.622614]","157","0.97375"
"(3.64882,3.91156]","(0.622614,0.634976]","157","0.958333"
"(3.64882,3.91156]","(0.634976,0.650626]","78","0.956667"
"(3.64882,3.91156]","(0.650626,0.667093]","157","0.9775"
"(3.64882,3.91156]","(0.667093,0.684716]","78","0.95"
"(3.64882,3.91156]","(0.684716,0.701636]","78","0.967778"
"(3.64882,3.91156]","(0.701636,0.723095]","78","0.955"
"(3.64882,3.91156]","(0.723095,0.745794]","78","0.973333"
"(3.64882,3.91156]","(0.745794,0.778149]","78","0.96"
"(3.64882,3.91156]","(0.778149,0.8115]","78","0.955"
"(3.64882,3.91156]","(0.8115,0.885727]","78","1"
"(3.91156,4.25239]","(0.399463,0.482554]","236","0.97"
"(3.91156,4.25239]","(0.482554,0.507006]","236","0.976667"
"(3.91156,4.25239]","(0.507006,0.526885]","157","0.97"
"(3.91156,4.25239]","(0.526885,0.54134]","157","0.966667"
"(3.91156,4.25239]","(0.54134,0.555202]","157","0.964286"
"(3.91156,4.25239]","(0.555202,0.568005]","236","0.98"
"(3.91156,4.25239]","(0.568005,0.582622]","157","0.96"
"(3.91156,4.25239]","(0.582622,0.594014]","157","0.96625"
"(3.91156,4.25239]","(0.594014,0.606512]","78","0.951667"
"(3.91156,4.25239]","(0.606512,0.622614]","157","0.975"
"(3.91156,4.25239]","(0.622614,0.634976]","157","0.976"
"(3.91156,4.25239]","(0.634976,0.650626]","78","0.955"
