query_idx,ef_true,recall_at_ef_true,RV_gamma_0.1,RV_gamma_0.5,RV_gamma_1.0,RV_gamma_2.0,RV_gamma_5.0,RV_gamma_10.0,RV_gamma_20.0
6026,50,1.0,0.3,0.3,0.3,0.4,0.5,0.7,0.8
623,50,1.0,0.4,0.4,0.5,0.6,0.8,0.9,0.9
2195,50,1.0,0.2,0.3,0.3,0.3,0.4,0.6,0.8
8913,5000,0.9,0.1,0.1,0.1,0.1,0.3,0.6,0.8
3131,2000,1.0,0.1,0.1,0.1,0.1,0.2,0.4,0.3
3607,50,1.0,0.1,0.1,0.1,0.2,0.2,0.5,0.8
3589,100,1.0,0.3,0.4,0.4,0.5,0.6,0.8,0.9
8148,1800,1.0,0.1,0.1,0.1,0.1,0.2,0.3,0.1
3465,1550,1.0,0.1,0.1,0.1,0.2,0.2,0.4,0.6
201,400,1.0,0.1,0.1,0.1,0.2,0.3,0.4,0.6
2068,450,1.0,0.1,0.1,0.1,0.2,0.2,0.4,0.1
3697,3450,1.0,0.1,0.1,0.1,0.1,0.2,0.4,0.2
5178,50,1.0,0.3,0.3,0.3,0.3,0.4,0.6,0.8
5881,50,1.0,0.3,0.3,0.3,0.4,0.6,0.8,0.9
2480,1100,1.0,0.1,0.1,0.1,0.2,0.3,0.5,0.2
9320,100,1.0,0.3,0.3,0.3,0.4,0.5,0.7,0.8
4155,50,1.0,0.4,0.4,0.4,0.4,0.5,0.6,0.7
5875,50,1.0,0.5,0.5,0.5,0.6,0.7,0.8,0.9
7744,1200,1.0,0.1,0.1,0.2,0.2,0.3,0.5,0.2
7904,50,1.0,0.3,0.3,0.3,0.4,0.5,0.6,0.8
2940,100,1.0,0.1,0.1,0.1,0.2,0.2,0.4,0.7
5834,50,1.0,0.3,0.3,0.3,0.4,0.5,0.7,0.8
6377,50,1.0,0.2,0.2,0.2,0.3,0.4,0.5,0.7
9034,100,1.0,0.2,0.2,0.3,0.3,0.4,0.5,0.7
8099,50,1.0,0.3,0.3,0.3,0.4,0.5,0.7,0.8
2194,50,1.0,0.2,0.2,0.3,0.3,0.5,0.7,0.9
4653,50,1.0,0.3,0.3,0.3,0.4,0.6,0.8,0.9
3974,100,1.0,0.2,0.2,0.2,0.2,0.4,0.7,0.8
8648,50,1.0,0.3,0.3,0.4,0.4,0.6,0.9,0.9
440,50,1.0,0.3,0.3,0.4,0.5,0.7,0.9,0.9
8097,200,1.0,0.1,0.1,0.2,0.2,0.3,0.5,0.8
1611,50,1.0,0.4,0.4,0.4,0.5,0.5,0.7,0.8
3496,650,1.0,0.1,0.1,0.1,0.2,0.3,0.4,0.1
1639,1350,1.0,0.1,0.1,0.1,0.2,0.2,0.4,0.6
7,350,1.0,0.1,0.1,0.1,0.1,0.2,0.3,0.1
8920,250,1.0,0.1,0.1,0.1,0.2,0.2,0.3,0.3
7366,900,1.0,0.2,0.2,0.2,0.2,0.3,0.5,0.2
