RC_bin,RV_bin,ef,actual_recall
"(4.31303,4.54013]","(0.517294,0.534766]","315","0.951"
"(4.31303,4.54013]","(0.534766,0.550466]","236","0.95125"
"(4.31303,4.54013]","(0.550466,0.565932]","315","0.96"
"(4.31303,4.54013]","(0.565932,0.581181]","315","0.95"
"(4.31303,4.54013]","(0.581181,0.598669]","315","0.97"
"(4.31303,4.54013]","(0.598669,0.617979]","236","0.976"
"(4.31303,4.54013]","(0.617979,0.634402]","236","0.9675"
"(4.31303,4.54013]","(0.634402,0.663608]","157","0.98"
"(4.31303,4.54013]","(0.663608,0.683543]","157","0.953333"
"(4.31303,4.54013]","(0.683543,0.714231]","78","0.983333"
"(4.54013,4.80484]","(0.334409,0.410039]","473","0.955"
"(4.54013,4.80484]","(0.410039,0.435926]","394","0.965"
"(4.54013,4.80484]","(0.435926,0.454622]","394","0.9575"
"(4.54013,4.80484]","(0.454622,0.470667]","394","0.951667"
"(4.54013,4.80484]","(0.470667,0.487386]","315","0.956667"
"(4.54013,4.80484]","(0.487386,0.501052]","315","0.966667"
"(4.54013,4.80484]","(0.501052,0.517294]","315","0.965714"
"(4.54013,4.80484]","(0.517294,0.534766]","315","0.95"
"(4.54013,4.80484]","(0.534766,0.550466]","315","0.965"
"(4.54013,4.80484]","(0.550466,0.565932]","236","0.955"
"(4.54013,4.80484]","(0.565932,0.581181]","236","0.975"
"(4.54013,4.80484]","(0.581181,0.598669]","157","0.951"
"(4.54013,4.80484]","(0.598669,0.617979]","236","0.96"
"(4.54013,4.80484]","(0.617979,0.634402]","78","0.95"
"(4.54013,4.80484]","(0.634402,0.663608]","157","0.968333"
"(4.54013,4.80484]","(0.683543,0.714231]","78","0.966667"
"(4.54013,4.80484]","(0.714231,0.748711]","157","0.955"
"(4.54013,4.80484]","(0.748711,0.794228]","78","0.96"
"(4.54013,4.80484]","(0.794228,0.892743]","78","1"
"(4.80484,5.10175]","(0.334409,0.410039]","631","0.955"
"(4.80484,5.10175]","(0.410039,0.435926]","473","0.952"
"(4.80484,5.10175]","(0.435926,0.454622]","315","0.957143"
"(4.80484,5.10175]","(0.454622,0.470667]","315","0.957143"
"(4.80484,5.10175]","(0.470667,0.487386]","315","0.9625"
"(4.80484,5.10175]","(0.487386,0.501052]","315","0.963333"
"(4.80484,5.10175]","(0.501052,0.517294]","315","0.97375"
"(4.80484,5.10175]","(0.517294,0.534766]","315","0.966667"
"(4.80484,5.10175]","(0.534766,0.550466]","236","0.971667"
"(4.80484,5.10175]","(0.550466,0.565932]","236","0.956667"
"(4.80484,5.10175]","(0.565932,0.581181]","236","0.953"
"(4.80484,5.10175]","(0.581181,0.598669]","236","0.972"
"(4.80484,5.10175]","(0.598669,0.617979]","236","0.965"
"(4.80484,5.10175]","(0.634402,0.663608]","157","0.9675"
"(4.80484,5.10175]","(0.663608,0.683543]","78","0.95"
"(4.80484,5.10175]","(0.683543,0.714231]","78","0.96"
"(4.80484,5.10175]","(0.714231,0.748711]","157","0.98"
"(4.80484,5.10175]","(0.748711,0.794228]","78","1"
"(5.10175,5.40733]","(0.334409,0.410039]","394","0.955"
"(5.10175,5.40733]","(0.410039,0.435926]","315","0.965"
"(5.10175,5.40733]","(0.435926,0.454622]","315","0.954286"
"(5.10175,5.40733]","(0.454622,0.470667]","315","0.962857"
"(5.10175,5.40733]","(0.470667,0.487386]","315","0.95375"
"(5.10175,5.40733]","(0.487386,0.501052]","236","0.95"
"(5.10175,5.40733]","(0.501052,0.517294]","236","0.956"
"(5.10175,5.40733]","(0.517294,0.534766]","236","0.976667"
"(5.10175,5.40733]","(0.534766,0.550466]","236","0.95"
"(5.10175,5.40733]","(0.550466,0.565932]","236","0.9675"
"(5.10175,5.40733]","(0.565932,0.581181]","157","0.95"
"(5.10175,5.40733]","(0.581181,0.598669]","157","0.966"
"(5.10175,5.40733]","(0.598669,0.617979]","157","0.968571"
"(5.10175,5.40733]","(0.617979,0.634402]","157","0.97"
"(5.10175,5.40733]","(0.634402,0.663608]","78","0.958571"
"(5.10175,5.40733]","(0.663608,0.683543]","157","0.9725"
"(5.10175,5.40733]","(0.683543,0.714231]","78","0.97"
"(5.10175,5.40733]","(0.714231,0.748711]","157","0.973333"
"(5.10175,5.40733]","(0.748711,0.794228]","78","0.98"
