query_idx,ef_true,MR_gauss_5,MR_log
1456,50,0.494069,0.378374
9232,100,0.36748,0.238979
7559,5000,0.212249,0.228686
1715,1250,0.223954,0.254068
4644,2500,0.200675,0.240329
8611,250,0.321182,0.316079
7834,50,0.476491,0.42758
3739,50,0.642875,0.475846
2802,50,0.566399,0.367605
8032,50,0.549082,0.393214
9914,500,0.175283,0.227765
6415,3100,0.282794,0.220258
2412,100,0.536085,0.383065
5542,2600,0.183889,0.205128
3192,550,0.336009,0.31214
9409,50,0.661871,0.533324
82,1900,0.162525,0.202683
7146,50,0.506884,0.392275
3248,50,0.456593,0.424057
1553,5000,0.257588,0.25296
9922,2300,0.182561,0.248678
4951,250,0.40887,0.352935
8535,250,0.291446,0.256828
1600,50,0.422629,0.315259
7515,300,0.353609,0.298695
2304,5000,0.178844,0.19948
6860,1000,0.262511,0.244733
5458,50,0.451037,0.330499
6597,1800,0.130718,0.172954
2969,900,0.227914,0.185873
3026,50,0.44325,0.280534
7123,2000,0.162363,0.195764
4969,50,0.758808,0.643491
4020,100,0.312591,0.284321
653,50,0.431175,0.343589
