query_id,score,recall
296,66.1503,0.86
297,55.2611,0.4
298,54.7068,0.08
299,60.7435,0.88
300,90.1,0.96
301,38.8961,0.2
302,78.8465,0.96
303,70.73,0.94
304,51.7816,0.32
305,73.6665,0.74
306,81.9354,1
307,83.3705,0.88
308,56.3992,0.58
309,48.4469,1
310,45.0074,0.52
311,66.7172,0.92
312,67.1285,0.44
313,52.5657,0.9
314,75.0296,0.8
315,60.7955,0.94
316,65.1582,0.76
317,62.6072,0.76
318,73.7147,0.64
319,50.285,0.14
320,69.5024,0.94
321,72.2116,0.96
322,47.6473,0.26
323,61.4123,0.66
324,21.6918,0.98
325,46.7226,0.24
326,54.9181,0.46
327,60.1823,0.88
328,63.1999,0.88
329,82.1969,1
330,66.5356,0.96
331,48.8919,0.34
332,83.7127,0.96
333,72.1001,0.56
334,61.7969,0.8
335,47.1435,0.24
336,67.218,0.86
337,69.0427,0.1
338,79.5983,0.82
339,82.6014,0.88
340,58.1496,0.62
341,45.4232,0.14
342,52.9951,0.74
343,71.6342,0.76
344,54.9979,0.66
345,52.6844,0.22
346,58.8538,0.42
347,75.7574,1
348,56.2695,0.62
349,76.2473,0.94
350,71.4716,0.82
351,35.407,0.58
352,54.8151,0.42
353,61.5334,0.8
354,70.4813,0.88
355,51.1325,0.08
356,91.0581,1
357,67.512,0.66
358,74.9294,0.8
359,73.304,0.96
360,51.3796,0.62
361,60.567,0.46
362,66.4477,0.84
363,68.337,0.66
364,75.9216,0.82
365,56.5465,0.86
366,47.993,0.32
367,81.1839,0.98
368,50.4056,0.4
369,74.3725,0.9
370,80.568,0.96
371,83.4305,1
372,68.9603,0.98
373,50.0115,0.7
374,81.5568,1
375,78.4505,0.96
376,57.4629,0.08
377,48.5728,0
378,61.1558,0.64
379,56.7728,0.4
380,88.8268,0.98
381,37.7823,0.56
382,41.7118,0.56
383,77.1355,0.56
384,67.2862,0.6
385,79.8032,0.96
386,39.4692,0.46
387,88.8538,0.96
388,49.2974,0.28
389,42.8219,0.56
390,72.678,0.9
391,79.4523,1
392,53.3176,0.28
393,65.0076,0.92
394,78.1322,1
395,57.4725,0.76
396,56.3394,0.28
397,77.7956,1
398,84.8098,0.94
399,80.9087,1
400,67.4686,0.8
401,74.8565,0.92
402,84.0297,0.96
403,53.6534,0.88
404,55.6241,0.34
405,71.556,0.96
406,18.0929,0.74
407,83.1556,0.98
408,47.9088,0.44
409,51.9803,0.28
410,82.2142,1
411,71.5523,0.82
412,53.4204,0.1
413,79.0356,0.76
414,79.8552,0.9
415,65.7212,0.06
416,52.7804,0.8
417,78.3621,0.94
418,77.4868,0.98
419,59.3162,0.36
420,50.3315,0.38
421,62.535,0.68
422,75.4927,0.88
423,81.3394,1
424,65.9606,0.6
425,66.2479,0.9
426,49.7179,0.9
427,43.3801,0.3
428,63.2068,0.74
429,50.9283,0.14
430,48.0543,0.82
431,68.4896,0.58
432,66.4835,0.62
433,78.0282,0.84
434,44.3342,0.42
435,74.352,0.88
436,56.9351,0.58
437,85.5658,1
