query_idx,ef_true,MR_raw_gauss,MR_univ_gauss
8818,2000,0.180912,0.350272
6173,750,0.270902,0.416177
6694,50,0.487611,0.479576
4403,850,0.225024,0.324457
8227,2200,0.195464,0.297688
8233,250,0.221634,0.239031
2862,50,0.480545,0.424391
5608,750,0.251896,0.347971
2198,1550,0.226019,0.428281
4302,100,0.317526,0.338381
6870,4600,0.180114,0.227728
1995,2650,0.22131,0.348075
8513,50,0.554241,0.472836
8551,200,0.413498,0.446752
7731,50,0.732273,0.70531
8105,850,0.298869,0.444873
2009,50,0.60368,0.402139
8245,50,0.51705,0.418861
5478,500,0.293267,0.328725
3887,500,0.282408,0.351833
9658,450,0.367525,0.332952
5821,50,0.532171,0.506993
6901,150,0.384983,0.359434
2713,50,0.384363,0.349952
8156,50,0.650246,0.70662
2178,850,0.301415,0.273923
9819,250,0.292788,0.416792
4261,750,0.208522,0.291016
1706,400,0.330835,0.280683
6505,200,0.360879,0.350264
8782,50,0.47965,0.623266
9337,50,0.749105,0.740331
4295,100,0.463966,0.534014
9891,100,0.360126,0.379787
7052,50,0.587708,0.374021
9053,250,0.206036,0.302718
3094,50,0.468126,0.454685
2590,300,0.241816,0.312579
2305,500,0.250901,0.362849
4804,50,0.700106,0.489713
8722,200,0.361391,0.409393
5520,250,0.321544,0.30296
4551,50,0.613432,0.454358
6229,50,0.411481,0.376873
3789,50,0.639422,0.689102
8684,1600,0.236792,0.28883
1457,1800,0.276842,0.378103
3838,350,0.204443,0.398112
9195,1500,0.186773,0.319775
132,100,0.341235,0.27157
1118,100,0.512582,0.533044
2235,50,0.363176,0.29252
4916,1300,0.20097,0.304282
5995,250,0.431242,0.32953
1590,900,0.278568,0.33632
1596,50,0.332081,0.342884
6548,50,0.642858,0.496116
3396,50,0.656638,0.546859
5791,50,0.455502,0.593612
5574,100,0.365128,0.386452
5137,3800,0.202897,0.300305
4967,900,0.207331,0.320825
1862,650,0.149201,0.319098
5487,2100,0.128557,0.288005
9163,150,0.375596,0.442071
1097,450,0.329813,0.275696
9567,3300,0.315716,0.31989
830,50,0.476634,0.470153
3986,50,0.676832,0.595368
9771,50,0.490376,0.441148
6350,650,0.263751,0.261766
8824,50,0.564946,0.664218
2286,100,0.393398,0.474821
3990,50,0.447565,0.576121
1407,100,0.357918,0.401624
2078,300,0.21396,0.279798
5237,150,0.357382,0.439628
9058,350,0.242464,0.405402
4200,1250,0.195328,0.218802
331,1350,0.239011,0.275256
6537,2200,0.301939,0.311859
9792,100,0.451583,0.423223
5557,50,0.701774,0.670711
5082,50,0.56409,0.421824
1200,100,0.389148,0.391426
7343,5000,0.263795,0.369967
5539,1350,0.20766,0.403735
2450,1250,0.255665,0.261295
1797,50,0.614178,0.626792
3535,50,0.419843,0.265543
1869,5000,0.253834,0.342064
3609,50,0.50535,0.432274
5218,3750,0.336455,0.274148
7155,100,0.36995,0.339576
3721,150,0.433541,0.471232
6192,850,0.247424,0.359241
6034,3600,0.197863,0.349116
3731,5000,0.167413,0.258023
1921,100,0.468661,0.557129
2624,50,0.590645,0.498288
3554,50,0.443395,0.375261
1108,50,0.489747,0.507963
3228,50,0.730403,0.513471
2994,50,0.400387,0.402592
987,5000,0.168215,0.313706
5988,50,0.768682,0.679231
726,50,0.65369,0.619405
6559,100,0.450123,0.272562
1721,50,0.508168,0.282662
343,300,0.438746,0.34392
9212,250,0.212118,0.369749
2088,350,0.293418,0.463512
3555,250,0.333461,0.391851
5354,50,0.408271,0.491278
7060,100,0.340056,0.370313
1410,2350,0.201385,0.315333
8926,50,0.390046,0.299404
8265,100,0.394112,0.383397
2838,200,0.274218,0.375724
1443,250,0.332241,0.242699
6674,1850,0.270074,0.308368
5776,200,0.359691,0.30877
5649,50,0.601808,0.619756
6671,50,0.49007,0.352888
6487,50,0.606727,0.548729
9102,350,0.241276,0.407009
7185,50,0.408944,0.440476
6462,50,0.517137,0.534445
5314,300,0.313405,0.448131
8862,50,0.650523,0.553364
2059,50,0.604665,0.600539
6093,100,0.332349,0.309423
6479,1000,0.223021,0.359077
3805,150,0.363002,0.443054
4712,350,0.332335,0.327452
1677,100,0.41718,0.271367
3235,50,0.43933,0.389268
1627,50,0.526991,0.462758
3227,50,0.530439,0.388311
3700,250,0.475379,0.418865
6262,50,0.490174,0.615948
6554,5000,0.24485,0.384461
9834,4250,0.299061,0.387213
